"championid","championname","teamposition","build","participant_count","win","firstbloodkill","firstbloodassist","firsttowerkill","firsttowerassist","champlevel","champexperience","kills","deaths","assists","doublekills","triplekills","killingsprees","largestkillingspree","largestmultikill","goldearned","goldspent","totaldamagedealt","totaldamagedealttochampions","physicaldamagedealt","physicaldamagedealttochampions","magicdamagedealt","magicdamagedealttochampions","truedamagedealt","truedamagedealttochampions","damagedealttobuildings","damagedealttoturrets","damagedealttoobjectives","damagedealttoepicmonsters","totaldamagetaken","physicaldamagetaken","magicdamagetaken","truedamagetaken","damageselfmitigated","totalheal","totalhealsonteammates","totaldamageshieldedonteammates","timeccingothers","totaltimeccdealt","totalminionskilled","neutralminionskilled","totalallyjungleminionskilled","totalenemyjungleminionskilled","baronkills","dragonkills","inhibitorkills","inhibitortakedowns","inhibitorslost","turretkills","turrettakedowns","turretslost","objectivesstolen","objectivesstolenassists","visionscore","wardsplaced","wardskilled","detectorwardsplaced","visionwardsboughtingame","totaltimespentdead","longesttimespentliving","pings","kda","ka","firstblood_participation","totalprotectiononteammates","expected_frontline_index","expected_effective_durability","expected_vision_denial_ratio","expected_vision_action_score","expected_epic_objective_score","expected_structure_score","expected_snowball_score","expected_damage_per_gold","expected_physical_damage_share","expected_magic_damage_share","expected_true_damage_share","damage_to_taken_ratio","totalcs"
236,"Lucian","BOTTOM","lethality",210,0.42857143,0.13809524,0.08095238,0.10952381,0.033333335,12.728572,424.43762,0.23504919,0.24083163,0.18533467,0.026885578,0.002521265,0.053853616,2.8142858,1.4571428,429.87637,391.5144,4387.922,723.1978,3942.4253,603.1176,288.96616,95.77833,156.49005,24.26387,160.83624,160.83624,284.536,66.46067,721.97034,439.82498,252.34392,29.760376,359.83664,108.627495,0.038291607,0,0.052035123,1.0878327,7.1493354,0.079290345,0.03111075,0.01761283,0.00099364,0.0015733921,0.12857144,0.27142859,0.5714286,1.0142857,1.6285714,4.9238095,0,0.00033350874,0.67368793,0.3237426,0.12036163,0.028873496,0.03354677,5.761148,489.1143,1.244742,0.42038384,0.42038384,0.21904762,0.038291607,1.495866,1190.4344,0.12036163,0.6291256,0.0038941808,3.442857,1.4929246,1.6823391,0.8339594,0.13243724,0.033550806,1.0017002,7.228626
236,"Lucian","BOTTOM","on_hit",745,0.2818792,0.09127517,0.06577181,0.051006712,0.02147651,11.813423,399.91483,0.15957534,0.26883447,0.1833242,0.014943604,0.0009283305,0.03442627,1.5852349,1.2026845,393.90683,363.83145,4180.1494,639.9262,3780.8232,544.1138,271.7982,89.525116,127.49019,6.2568135,126.770386,126.770386,215.25186,30.664278,744.1091,466.40155,250.49803,27.167103,370.73132,121.40354,0.41073784,0.02149465,0.035215124,0.72929615,7.173762,0.07154617,0.033583276,0.01193426,0.0003435407,0.0013470375,0.06442953,0.13557047,0.6295302,0.5543624,0.98791945,5.285906,0.000036261554,0.0002600488,0.67118496,0.3217284,0.12037368,0.032864474,0.037776664,5.917734,441.17987,1.1997461,0.34289956,0.34289956,0.15704697,0.4322325,1.7421391,1236.2439,0.12037368,0.6435712,0.002366691,1.9422818,0.843844,1.6245624,0.8502758,0.13989912,0.009777399,0.85998976,7.245308
236,"Lucian","MIDDLE","attack_damage",330,0.5060606,0.13636364,0.060606062,0.087878786,0.021212121,15.478787,521.2526,0.22598921,0.23061801,0.22457105,0.025104837,0.0028759702,0.05182142,2.8454545,1.5363636,443.77032,418.15057,5742.728,877.249,5265.572,777.14014,292.61798,76.60654,184.50755,23.474274,186.21126,186.21126,340.4443,37.007977,874.7509,472.28302,360.5591,41.873974,501.72394,212.38184,0,0,0.08536779,1.9858094,7.547384,0.25516587,0.108735524,0.060920194,0.0013739312,0.0028042935,0.1969697,0.45454547,0.7848485,1.560606,2.5030303,5.806061,0,0.0005360115,0.82659656,0.35465378,0.13731557,0.06661743,0.07234144,6.941892,542.3091,1.6393343,0.45056027,0.45056027,0.1969697,0,1.5690811,1588.8567,0.13731557,0.8385449,0.0060881674,5.366667,1.5054054,1.9768087,0.88588315,0.08732588,0.026758961,1.0028558,7.80255
236,"Lucian","MIDDLE","crit",4567,0.47843224,0.12853077,0.049485438,0.11977228,0.02058244,15.700898,532.447,0.24348576,0.22777025,0.20207714,0.026461728,0.0037358473,0.057100173,3.213488,1.5802497,455.31918,426.82263,6142.4526,896.65094,5601.891,787.9905,341.0258,79.90059,199.5032,28.728765,216.50935,216.50935,413.39215,92.88731,844.98236,459.34607,343.07938,42.52208,457.03583,190.08594,0.0121950805,0,0.06927898,1.715526,7.6437545,0.28175375,0.12775736,0.064477526,0.0011600938,0.0033285911,0.17932998,0.44931027,0.81935626,1.584191,2.4926648,5.994307,0.00017246437,0.0002839531,0.77834547,0.35469854,0.11693283,0.051645115,0.057295915,7.0916023,564.2761,1.7413398,0.4455629,0.4455629,0.1780162,0.0121950805,1.4520903,1492.1041,0.11693283,0.7479798,0.0062776604,5.334136,1.6977776,1.96928,0.8788152,0.089110024,0.03204008,1.0611476,7.9255085
236,"Lucian","MIDDLE","on_hit",287,0.31010452,0.06968641,0.05574913,0.024390243,0.010452962,13.365853,481.08002,0.15162843,0.25163892,0.16890156,0.010116414,0.00040105399,0.036233768,1.7108014,1.1916376,392.44888,362.21515,4635.9883,683.9605,4303.9033,619.9536,197.54826,54.262558,134.50784,9.718783,119.10108,119.10108,210.58763,12.569621,795.07855,436.91983,322.95233,35.165546,393.84137,161.19748,0,0,0.04868631,1.3591603,7.4940734,0.11093512,0.04676369,0.022667283,0.0004983181,0.0011246015,0.06271777,0.18118466,0.78397214,0.6968641,1.1428572,5.8641114,0,0.00015601436,0.727785,0.34096035,0.11540263,0.06735376,0.07482623,6.6213236,516.2265,1.5349863,0.32053,0.32053,0.12543555,0,1.7382873,1350.1174,0.11540263,0.7984243,0.002277252,2.327526,0.90255296,1.7428015,0.90641725,0.0793358,0.014209568,0.8602427,7.6050086
236,"Lucian","TOP","attack_damage",135,0.45185184,0.19259259,0.014814815,0.096296296,0,15.8,544.50385,0.18147886,0.24506648,0.18984906,0.011150531,0.00047861584,0.042040184,2.3185184,1.2518518,420.96512,398.33588,5379.9165,800.48517,4873.2554,703.3523,293.43033,72.93595,213.19582,24.167437,191.32057,191.32057,327.39514,63.861637,898.1265,530.01685,326.3979,41.67673,495.58887,208.82323,0,0,0.07323263,1.7874243,7.362535,0.19338243,0.070749894,0.042694967,0.0009039889,0.0014878222,0.14074074,0.34074074,0.97037035,1.5259259,2.2814815,6.2,0,0.0002451431,0.81300545,0.35561106,0.10692104,0.043153144,0.04873386,7.517654,519.19257,1.3554068,0.3713279,0.3713279,0.2074074,0,1.7410883,1602.5386,0.10692104,0.69976664,0.0035409431,4.7703705,1.2134072,1.9015476,0.87865746,0.091114685,0.030190988,0.89128333,7.5559173
236,"Lucian","TOP","crit",1246,0.44462278,0.17817014,0.03130016,0.18298556,0.010433387,16.263243,559.187,0.21519633,0.2554169,0.17924705,0.018810008,0.0030070017,0.049122848,2.7391653,1.4719101,441.6435,415.5453,6030.824,856.95013,5460.3223,755.6073,345.81006,75.55353,224.6589,25.760622,241.96425,241.96425,404.10474,96.13263,880.2306,540.589,292.43256,47.17505,474.36066,186.08148,0.033455517,0,0.05771731,1.5665567,7.4897003,0.25773752,0.115824595,0.061351158,0.0010289685,0.002027135,0.15971108,0.42054576,0.9189406,1.7383628,2.5369182,6.303371,0.00025992014,0.00020215663,0.86592627,0.36733088,0.10874559,0.046851233,0.051730487,7.91793,513.92615,1.3779995,0.3944434,0.3944434,0.2094703,0.033455517,1.5807118,1540.6727,0.10874559,0.72761273,0.004807069,5.4357944,1.4435295,1.9403663,0.8817401,0.0881656,0.030060818,0.97355187,7.747438
236,"Lucian","TOP","on_hit",110,0.3181818,0.1,0.018181818,0.045454547,0,13.536364,490.5383,0.13714935,0.28628424,0.14828351,0.008775972,0,0.02807627,1.2545455,1.0727273,379.47098,355.51016,4379.6953,689.1243,4011.8547,620.60345,205.63657,54.38808,162.17316,14.100405,137.86752,137.86752,222.6077,27.439823,813.84686,501.1104,274.9791,37.72385,400.44186,149.41562,0,0,0.044677734,1.2205153,7.042708,0.086266905,0.03033756,0.012499899,0.00026388705,0.0009850678,0.045454547,0.10909091,0.6454545,0.73636365,0.96363634,5.4363637,0,0,0.7319671,0.35109115,0.075826615,0.04174059,0.0487027,7.5972624,416.85455,1.1556149,0.28543288,0.28543288,0.11818182,0,1.762075,1363.7043,0.075826615,0.6457176,0.0015128419,2.009091,0.66412497,1.8160133,0.90056825,0.07892347,0.020461336,0.8467494,7.128975
238,"Zed","JUNGLE","ad_off_tank",2268,0.50837743,0.098324515,0.07054674,0.027777778,0.028218694,16.515873,547.5977,0.30610424,0.18415673,0.29027662,0.030667884,0.003243795,0.070261374,4.590829,1.6781305,461.48755,430.23007,9419.37,826.3261,5632.248,726.3133,1486.3208,45.636993,2300.7654,54.342827,47.08375,47.08375,908.1544,270.25494,1283.9784,841.3732,392.95587,49.617096,848.36383,540.21173,0,0,0.3811138,9.473937,1.0986338,5.954453,4.093655,0.60737187,0.011047835,0.053191993,0.10934744,0.36199296,0.96208113,0.65167546,1.425485,6.361111,0.004186538,0.00015246944,0.88866746,0.1782326,0.1325426,0.093549505,0.10247324,5.840111,647.66974,2.5489428,0.59638083,0.59638083,0.16887125,0,2.5805092,2672.554,0.1325426,0.76909196,0.083813205,3.0198412,2.4028313,1.7905707,0.8789669,0.055228792,0.06576438,0.643567,7.0530868
238,"Zed","JUNGLE","attack_damage",34784,0.46429393,0.095848665,0.07279209,0.026563937,0.028461361,15.726541,531.6408,0.29597595,0.20043033,0.26099974,0.028009249,0.0031687208,0.06790861,4.1647882,1.6074632,460.91605,430.47397,9210.28,811.76514,5612.478,713.92096,1348.953,40.499866,2248.8125,57.309475,49.915493,49.915493,878.03326,365.87708,1146.8567,753.3401,349.36346,44.11862,747.59204,485.16776,0.0006606275,0,0.3513053,9.244249,1.0434659,5.9488163,4.090909,0.57991433,0.009235096,0.05134089,0.09659614,0.3127875,0.90969986,0.58046806,1.201242,6.1906624,0.003556675,0.00014805817,0.8685923,0.17425674,0.12757306,0.081822686,0.08986885,6.1712937,608.2454,2.4561794,0.55697566,0.55697566,0.16864075,0.0006606275,2.3337398,2379.6165,0.12757306,0.7089994,0.07707249,2.6004772,2.1846495,1.7611996,0.87946737,0.049891114,0.070598595,0.70781744,6.992282
